layout_name,input_count,average_remaining_candidates,weighted_unique_share,max_remaining_candidates
evolved_rank_19,12,1.2636697762817803,0.8036667314564183,3
evolved_rank_19,13,1.2636697762817803,0.8036667314564183,3
evolved_rank_19,14,1.2636697762817803,0.8036667314564183,3
evolved_rank_20,1,92.16564327873677,0.0,127
evolved_rank_20,2,12.993684243011936,4.0387180054813704e-07,34
evolved_rank_20,3,2.744960646702862,0.3802826325499661,16
evolved_rank_20,4,1.3249513086790008,0.7549069243562264,6
evolved_rank_20,5,1.238972542759441,0.8126896727248707,4
evolved_rank_20,6,1.234281279419231,0.8173803639640956,3
evolved_rank_20,7,1.234279227834903,0.8173822706866585,3
evolved_rank_20,8,1.2287895528951989,0.8228719456263627,3
evolved_rank_20,9,1.2287893351358117,0.8228721633857499,3
evolved_rank_20,10,1.2287893351358117,0.8228721633857499,3
evolved_rank_20,11,1.2287893351358117,0.8228721633857499,3
evolved_rank_20,12,1.2287893351358117,0.8228721633857499,3
evolved_rank_20,13,1.2287893351358117,0.8228721633857499,3
evolved_rank_20,14,1.2287893351358117,0.8228721633857499,3
evolved_rank_21,1,78.75457924763724,0.0,159
evolved_rank_21,2,14.17565883511129,9.98721267409133e-08,46
evolved_rank_21,3,3.609601508777202,0.20887389198981934,17
evolved_rank_21,4,1.56950065692996,0.5717506611021262,6
evolved_rank_21,5,1.4247628857488939,0.6460801430637494,5
evolved_rank_21,6,1.4145815245673943,0.6507719911779388,4
evolved_rank_21,7,1.4145794931594073,0.6507734904622017,3
evolved_rank_21,8,1.4090898179356006,0.6562631656860084,3
evolved_rank_21,9,1.409089503271942,0.6562634803496672,3
evolved_rank_21,10,1.409089503271942,0.6562634803496672,3
evolved_rank_21,11,1.409089503271942,0.6562634803496672,3
evolved_rank_21,12,1.409089503271942,0.6562634803496672,3
evolved_rank_21,13,1.409089503271942,0.6562634803496672,3
evolved_rank_21,14,1.409089503271942,0.6562634803496672,3
evolved_rank_22,1,88.73206407469988,0.0,126
evolved_rank_22,2,14.419904274819348,0.009114626280450856,43
evolved_rank_22,3,2.876360978331695,0.3240156775157858,16
evolved_rank_22,4,1.512288039230362,0.6681796981355317,11
evolved_rank_22,5,1.421214801980286,0.7234916561030419,4
evolved_rank_22,6,1.413289506518068,0.7314156662202219,3
evolved_rank_22,7,1.4132876672495231,0.7314173606270017,3
evolved_rank_22,8,1.407797992309819,0.736907035566706,3
evolved_rank_22,9,1.4077977745504318,0.7369072533260932,3
evolved_rank_22,10,1.4077977745504318,0.7369072533260932,3
evolved_rank_22,11,1.4077977745504318,0.7369072533260932,3
evolved_rank_22,12,1.4077977745504318,0.7369072533260932,3
evolved_rank_22,13,1.4077977745504318,0.7369072533260932,3
evolved_rank_22,14,1.4077977745504318,0.7369072533260932,3
evolved_rank_23,1,94.87624831962009,0.0,161
evolved_rank_23,2,13.937764607087608,0.0200632301304356,67
evolved_rank_23,3,3.2828424740181394,0.42962663590752936,19
evolved_rank_23,4,1.3813305421486952,0.7959073804527023,11
evolved_rank_23,5,1.2205605190014421,0.8586720819846874,5
evolved_rank_23,6,1.2158662977447106,0.8633637322570945,4
evolved_rank_23,7,1.2093114944267154,0.8666418108330921,4
evolved_rank_23,8,1.203821622857737,0.8721315352421202,4
evolved_rank_23,9,1.2038214050983498,0.8721317530015074,4
evolved_rank_23,10,1.2038214050983498,0.8721317530015074,4
evolved_rank_23,11,1.2038214050983498,0.8721317530015074,4
evolved_rank_23,12,1.2038214050983498,0.8721317530015074,4
evolved_rank_23,13,1.2038214050983498,0.8721317530015074,4
evolved_rank_23,14,1.2038214050983498,0.8721317530015074,4
evolved_rank_24,1,91.36067806083918,0.0,171
evolved_rank_24,2,14.82033846605542,5.386783712968695e-07,41
evolved_rank_24,3,3.484224601537054,0.4091491612775524,20
evolved_rank_24,4,1.3167628463477317,0.74871930911565,7
evolved_rank_24,5,1.207069352188772,0.8118992735526789,5
evolved_rank_24,6,1.1991433321945055,0.8198235644593844,5
evolved_rank_24,7,1.1991415908601035,0.8198251609320214,5
evolved_rank_24,8,1.1936519159203993,0.8253148358717257,5
evolved_rank_24,9,1.1936516981610121,0.8253150536311129,5
evolved_rank_24,10,1.1936516981610121,0.8253150536311129,5
evolved_rank_24,11,1.1936516981610121,0.8253150536311129,5
evolved_rank_24,12,1.1936516981610121,0.8253150536311129,5
evolved_rank_24,13,1.1936516981610121,0.8253150536311129,5
evolved_rank_24,14,1.1936516981610121,0.8253150536311129,5
evolved_rank_25,1,79.09618279520744,0.0,155
evolved_rank_25,2,16.206936616607557,0.006047419456024926,60
evolved_rank_25,3,3.3757641558931515,0.25409315261794496,21
evolved_rank_25,4,1.672515125661967,0.5366241492815721,9
evolved_rank_25,5,1.5534420880597324,0.5898710306616729,4
evolved_rank_25,6,1.5487489538192238,0.5945625786572296,4
evolved_rank_25,7,1.5487473096731958,0.5945640779414926,4
evolved_rank_25,8,1.5432576344493891,0.6000537531652992,4
evolved_rank_25,9,1.5432573197857302,0.6000540678289581,4
evolved_rank_25,10,1.5432573197857302,0.6000540678289581,4
evolved_rank_25,11,1.5432573197857302,0.6000540678289581,4
evolved_rank_25,12,1.5432573197857302,0.6000540678289581,4
evolved_rank_25,13,1.5432573197857302,0.6000540678289581,4
evolved_rank_25,14,1.5432573197857302,0.6000540678289581,4
evolved_rank_26,1,90.57994547599772,0.0,162
evolved_rank_26,2,15.375134613677293,0.020063226426958385,67
evolved_rank_26,3,4.166129914263331,0.43811705628708025,19
evolved_rank_26,4,1.4439993996789855,0.7391837513270457,11
evolved_rank_26,5,1.2218639385757328,0.8412657975935731,5
evolved_rank_26,6,1.2171688236699485,0.8459572826706032,5
evolved_rank_26,7,1.2106137267828947,0.8492355076557091,5
evolved_rank_26,8,1.2051240518431905,0.8547251825954134,5
evolved_rank_26,9,1.2051238340838033,0.8547254003548006,5
evolved_rank_26,10,1.2051238340838033,0.8547254003548006,5
evolved_rank_26,11,1.2051238340838033,0.8547254003548006,5
evolved_rank_26,12,1.2051238340838033,0.8547254003548006,5
evolved_rank_26,13,1.2051238340838033,0.8547254003548006,5
evolved_rank_26,14,1.2051238340838033,0.8547254003548006,5
evolved_rank_27,1,89.08842962985284,0.0,147
evolved_rank_27,2,12.76038224299479,2.9197098273221075e-07,35
evolved_rank_27,3,3.055594984611387,0.25496119858910177,20
evolved_rank_27,4,1.5719858512599663,0.5437926453686618,7
evolved_rank_27,5,1.408825617882651,0.6301070474342075,6
evolved_rank_27,6,1.4041333298613203,0.634798326988545,6
evolved_rank_27,7,1.4041315885269183,0.634799923461182,6
evolved_rank_27,8,1.3986419135872141,0.6402895984008863,6
evolved_rank_27,9,1.398641695827827,0.6402898161602735,6
evolved_rank_27,10,1.398641695827827,0.6402898161602735,6
evolved_rank_27,11,1.398641695827827,0.6402898161602735,6
evolved_rank_27,12,1.398641695827827,0.6402898161602735,6
evolved_rank_27,13,1.398641695827827,0.6402898161602735,6
evolved_rank_27,14,1.398641695827827,0.6402898161602735,6
evolved_rank_28,1,77.66062383599647,0.0,151
